publisher_id,publisher
217,Cinemaware
218,"Orbital Media, Inc."
219,Atlus
220,Sony Platform Publishing
221,Masque Publishing
222,PomPom Games
223,Oberon Media
224,NinjaBee
225,Taito Corporation
226,Third Wave Games
227,Buena Vista Games
228,Ankama Games
229,D3
230,Valcon Games
231,Digital Jesters
232,Warner Bros. Interactive Entertainment
233,Telltale Games
234,Turbine Inc.
235,Steedie
236,Ethereal Darkness Interactive
237,Agetec
238,PixelStorm
239,Silver Creek Entertainment
240,SCEA Sports Studio
241,Meridian4
242,TopWare Interactive
243,OnNet
244,Bandai America Inc.
245,Evolved Games
246,Planetwide Games
247,The Game Creators
248,Sports Interactive
249,Namco Bandai Games America
250,Peter Stock
251,Stardock
252,Vivendi Games
253,Zee 3 Limited
254,PopCap
255,GameTap
256,Klei Entertainment
257,Grey Dog Software
258,Naked Sky Entertainment
259,Wadjet Eye Games
260,Focus Home Interactive
261,Sierra Online
262,Namco Bandai Games
263,Himalaya Studios
264,Q Entertainment
265,XSEED Games
266,Ritual Entertainment
267,bhv Software
268,Gastronaut Studios
269,The Game Factory
270,D3Publisher
271,Cinemax
272,Positech Games
273,Lighthouse Interactive
274,Oxygen Interactive
275,King Games
276,"Tik Games, LLC"
277,MumboJumbo
278,DSI Games
279,Aksys Games
280,Destineer
281,Cinemaware Marquee
282,Red Mile Entertainment
283,Yuke's Company of America
284,iEntertainment Network
285,Freeverse Software
286,PM Studios Inc.
287,Left Behind Games
288,UFO Interactive
289,Reef Entertainment
290,Microsoft
291,Hudson Entertainment
292,GamersGate
293,Moonpod
294,Epic Games
295,MTV Games
296,Bit Blot
297,Soldak Entertainment
298,The Behemoth
299,Chair Entertainment
300,Basilisk Games
301,ImpactGames
302,WildTangent
303,Dreamcatcher
304,MDNA Games
305,Gamecock Media Group
306,Llamasoft
307,505 Games
308,K2 Network
309,Disney Online
310,2K Play
311,Bandai Namco Games
312,G2 Games
313,Game Factory Interactive
314,Tomy Corporation
315,Akella
316,Elephant Entertainment
317,"Scholastic, Inc."
318,Artificial Studios
319,Gaia Industries
320,InterServ International
