developer_id,developer
335,Snowblind Studios
336,TimeGate Studios
337,Croteam
338,Amusement Vision
339,Gearbox Software
340,Pyro Studios
341,SNK
342,Nd Cube
343,Dreamworks Games
344,Bohemia Interactive
345,ProSoft
346,Deep Red
347,Full-Fat
348,Sonalysts
349,Kronos Digital Entertainment
350,Rainbow Studios
351,Kuju Entertainment
352,Particle Systems
353,Presto Studios
354,Harmonix Music Systems
355,Enlight Software
356,Bugbear
357,MTO
358,Liquid Entertainment
359,Sun-Tec
360,David A. Palmer Productions
361,Piranha Bytes
362,Troika Games
363,FireFly Studios
364,Flying Lab Software
365,Stainless Steel Studios
366,Crawfish Interactive
367,Fever Pitch Studios
368,Spike
369,Rockstar Toronto
370,Stardock
371,Level 5
372,Acclaim Studios Cheltenham
373,Rowan Software Ltd.
374,Digital Mayhem
375,NetDevil
376,Zed Two Limited
377,Nexon
378,Team 17
379,Arc System Works
380,Mobile 21
381,Liquid Edge Games
382,Cyberlore Studios
383,BudCat
384,Heart Beat
385,Spellbound
386,Takumi Corporation
387,Indie Built
388,Tose Software
389,SCE Santa Monica
390,Nival Interactive
391,Darkworks
392,Jester Interactive
393,"Crystal Dynamics, Nixxes Software"
394,Clever's Development
395,"Ascaron Entertainment GmbH, Ascaron Entertainment"
396,Pacific Coast Power & Light
397,Digital Fiction
398,MumboJumbo
399,Sports Mogul
400,Neverland
401,Atari
402,New
403,Introversion
404,Rebel Act Studios
405,Stormfront Studios
406,Blue Byte
407,GSC Game World
408,Pukka Games
409,Konami Computer Entertainment Hawaii
410,EA Games
411,Studio Liverpool
412,RFX Interactive
413,Sony Bend
414,Bungie
415,Sacnoth
416,Game Titan
417,EA Redwood Shores
418,GRIN
419,Ultimation Inc.
420,Charybdis
421,Flying Tiger Development
422,Eighting/Raizing
423,Lucas Learning
424,Reality Pump
425,Newcom
426,Ninai Games
427,Object
428,HotGen
429,Racjin
430,Joe's Games
431,"Asmik Ace Entertainment, Inc"
432,The Bitmap Brothers
433,Fireglow
434,Zener Works
435,Konami Computer Entertainment Nagoya
436,Buka Entertainment
437,Reflexive Entertainment
438,Frog City Software
439,Titus Software
440,Starfish
441,Hypnotix
442,Invictus
443,"3000AD, Inc."
444,Gigawatt Studios
445,Click Entertainment
446,Xicat Interactive
447,Blue Fang Games
448,Marionette
449,HistWar
450,Barnhouse Effect
451,Planet Interactive
452,Virtucraft
453,Cattle Call
454,Deep Space
455,Massive Development
456,Super X Studios
457,Anim-X
458,Spiral House
459,DreamFactory
460,Titanium Studios
461,Altron
462,Pseudo Interactive
463,Mad Doc Software
464,Xilam
465,MicroProse
466,KnowWonder
467,3d6 Games
468,Stormregion
469,Microids
470,New World Computing
471,Dearsoft
472,Griptonite Games
473,Fox Interactive
474,Coyote Developments
475,Gizmo
476,Helixe
477,"Activision, Traveller's Tales"
478,Syscom
479,X-Ray Interactive
480,Max Five
481,Shrapnel Games
482,Mobius Entertainment
483,"Funatics Development GmbH, Funatics Software, Funatics"
484,Artoon
485,Sabotage Studio
486,KCE Studios
487,TalonSoft
488,Crazy Games
489,Altar Interactive
490,Hothouse Creations
491,Sennari Interactive
492,Digital Extremes
493,"Titus Software, X-Ray Interactive"
494,Take-Two Interactive
495,MASA Group
496,Beyond Games
497,Hot-B
498,NCSOFT
499,Continuum
500,Phantagram
501,Lucky Chicken
502,Attention Software
503,GameSquad
504,In Utero
505,Cave
506,Magitech
507,Delphine Software International
508,Bandai
509,Exakt
510,THQ
511,Cornered Rat
512,"Holistic Design, Inc."
513,Fragile Bits
514,Inland Productions
